  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
1035   18    0  100.00 100.00    16     16   16      0     18    17    94.44
1036   23    0   66.67  70.59    12     18   17      4     23    23   100.00
1037   16    0   85.71  85.71    12     14   14      0     16    16   100.00
1038   45    0   90.70  97.50    39     43   40      1     45    45   100.00
1039   24    0   91.67  84.62    22     24   26      0     24    24   100.00
1040   23    0  100.00  83.33    15     15   18      0     23    20    86.96
1041   12    0   92.31  92.31    12     13   13      0     12    11    91.67
1042    3    0  100.00 100.00     2      2    2      0      3     1    33.33
1043   16    0   78.57  73.33    11     14   15      1     16    16   100.00
1044   32    0  100.00  96.88    31     31   32      0     32    30    93.75
1045   31    0   88.00  88.00    22     25   25      1     31    31   100.00
1046   61    0   95.24  93.75    60     63   64      3     61    56    91.80
1047   10    0   81.82  81.82     9     11   11      0     10    10   100.00
1048   11    0  100.00 100.00    12     12   12      0     11    10    90.91
1049   17    0   73.33  73.33    11     15   15      3     17    16    94.12
1050   18    0   94.44  94.44    17     18   18      0     18    17    94.44
1051   21    0   90.91  66.67    10     11   15      1     21    20    95.24
1052   15    0  100.00 100.00    11     11   11      0     15    15   100.00
1053   21    0  100.00 100.00    17     17   17      0     21    21   100.00
1054   28    0   91.30  91.30    21     23   23      2     28    28   100.00
1055    3    0  100.00 100.00     2      2    2      0      3     2    66.67
1056   40    0   94.29  94.29    33     35   35      0     40    38    95.00
1057   38    0  100.00  97.50    39     39   40      0     36    35    97.22
1058   12    0  100.00 100.00    11     11   11      0     12    12   100.00
1059   24    0   92.86  92.86    26     28   28      0     24    24   100.00
1060   39    0   97.67  97.67    42     43   43      0     39    38    97.44
1061   24    0  100.00 100.00    26     26   26      0     24    24   100.00
1062    4    0  100.00 100.00     2      2    2      0      4     4   100.00
1063   27    0  100.00 100.00    28     28   28      0     27    26    96.30
1064   19    0  100.00 100.00    16     16   16      0     19    19   100.00
1065   26    0  100.00 100.00    27     27   27      0     26    26   100.00
1066   28    0   89.66  92.86    26     29   28      0     28    26    92.86
1067   30    0   93.33  96.55    28     30   29      0     30    28    93.33
1068   20    0   95.24  90.91    20     21   22      0     20    20   100.00
1069    4    0  100.00 100.00     4      4    4      0      4     4   100.00
1070    4    0  100.00 100.00     3      3    3      0      4     4   100.00
============================================================================
                 92.85  92.56  14288 15388 15437    344  16762 16169    96.46
=== Summary ===

-- All --
Number of sentence        =   1070
Number of Error sentence  =     13
Number of Skip  sentence  =      0
Number of Valid sentence  =   1057
Bracketing Recall         =  92.85
Bracketing Precision      =  92.56
Bracketing FMeasure       =  92.70
Complete match            =  51.75
Average crossing          =   0.33
No crossing               =  85.62
2 or less crossing        =  95.84
Tagging accuracy          =  96.46

-- len<=40 --
Number of sentence        =   1020
Number of Error sentence  =     12
Number of Skip  sentence  =      0
Number of Valid sentence  =   1008
Bracketing Recall         =  93.35
Bracketing Precision      =  93.02
Bracketing FMeasure       =  93.19
Complete match            =  53.97
Average crossing          =   0.24
No crossing               =  87.90
2 or less crossing        =  96.92
Tagging accuracy          =  96.58
