  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 478   56    0   95.65  93.62    44     46   47      1     56    56   100.00
 479   20    0   91.67  91.67    11     12   12      0     18    17    94.44
 480   14    0   76.92  76.92    10     13   13      0     14    13    92.86
 481   28    0   73.33  64.71    11     15   17      1     28    25    89.29
 482   28    0  100.00 100.00    22     22   22      0     28    28   100.00
 483   33    0   89.66  89.66    26     29   29      1     33    33   100.00
 484   28    0   65.38  65.38    17     26   26      5     28    27    96.43
 485   34    0   80.00  82.76    24     30   29      2     34    33    97.06
 486   29    0   82.35  77.78    14     17   18      2     29    28    96.55
 487   38    0   87.88  85.29    29     33   34      2     36    36   100.00
 488   13    0   91.67  91.67    11     12   12      0     13    13   100.00
 489   18    0   71.43  62.50    10     14   16      2     18    18   100.00
 490   30    0  100.00 100.00    25     25   25      0     30    30   100.00
 491   28    0   83.87  89.66    26     31   29      0     28    27    96.43
 492    4    0  100.00 100.00     6      6    6      0      4     4   100.00
 493   29    0   48.28  43.75    14     29   32     14     29    27    93.10
 494   39    0   82.50  84.62    33     40   39      5     39    39   100.00
 495   39    0   96.88  96.88    31     32   32      0     39    39   100.00
 496   68    0   88.37  88.37    38     43   43      1     68    65    95.59
 497   89    0   90.00  91.30    63     70   69      2     89    86    96.63
 498   51    0   70.00  73.68    28     40   38      7     51    51   100.00
 499   17    0   66.67  53.33     8     12   15      3     17    17   100.00
 500   35    0  100.00 100.00    34     34   34      0     35    35   100.00
 501   42    0   83.78  88.57    31     37   35      3     42    40    95.24
 502   28    0   91.67 100.00    22     24   22      0     28    26    92.86
 503   45    0   88.89  86.96    40     45   46      2     45    43    95.56
 504   35    0   93.33  90.32    28     30   31      0     35    35   100.00
 505   31    0   90.48  90.48    19     21   21      1     31    30    96.77
 506   50    0   91.67  82.50    33     36   40      3     50    50   100.00
 507   25    0   95.00  86.36    19     20   22      0     25    24    96.00
 508   44    0   88.10  90.24    37     42   41      2     44    42    95.45
 509   37    0   97.14  94.44    34     35   36      1     37    37   100.00
 510   71    0   77.78  76.36    42     54   55      7     71    64    90.14
 511   33    0   70.83  62.96    17     24   27      4     33    30    90.91
 512    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 513   12    0   66.67  60.00     6      9   10      2     10    10   100.00
