  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 203   14    0   92.86  92.86    13     14   14      0     14    14   100.00
 204   21    0   93.33  82.35    14     15   17      0     21    21   100.00
 205   26    0   68.42  65.00    13     19   20      5     26    26   100.00
 206   20    1    0.00   0.00     0      0    0      0      0     0     0.00
 207   16    0   91.67 100.00    11     12   11      0     16    15    93.75
 208   28    0   60.87  73.68    14     23   19      1     26    25    96.15
 209   27    0   94.44  85.00    17     18   20      1     27    27   100.00
 210    3    0  100.00  66.67     2      2    3      0      3     3   100.00
 211    5    0  100.00 100.00     4      4    4      0      5     5   100.00
 212    5    0   75.00  85.71     6      8    7      0      5     5   100.00
 213   26    0   94.44  80.95    17     18   21      0     26    25    96.15
 214   21    0   90.00  90.00    18     20   20      0     21    21   100.00
 215   18    0   93.33  87.50    14     15   16      0     18    17    94.44
 216   22    0   91.67  84.62    11     12   13      1     22    21    95.45
 217   14    0   60.00  66.67     6     10    9      2     14    14   100.00
 218    5    0  100.00 100.00     4      4    4      0      5     5   100.00
 219    8    0  100.00  83.33     5      5    6      0      8     8   100.00
 220    5    0  100.00 100.00     4      4    4      0      5     5   100.00
 221    8    0   71.43 100.00     5      7    5      0      8     7    87.50
 222    5    0  100.00 100.00     4      4    4      0      5     5   100.00
 223    6    0  100.00 100.00     5      5    5      0      6     6   100.00
 224    6    0  100.00 100.00     5      5    5      0      6     6   100.00
 225    5    0  100.00 100.00     4      4    4      0      5     5   100.00
 226   23    1    0.00   0.00     0      0    0      0      0     0     0.00
 227   19    0   94.44  89.47    17     18   19      1     19    19   100.00
 228   18    0  100.00 100.00    14     14   14      0     16    16   100.00
 229   28    0  100.00  91.67    22     22   24      0     28    27    96.43
 230   35    0   77.42  75.00    24     31   32      5     35    34    97.14
 231    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 232    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 233    5    0  100.00 100.00     4      4    4      0      5     5   100.00
 234    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 235    5    0  100.00 100.00     4      4    4      0      5     5   100.00
 236    5    0  100.00 100.00     4      4    4      0      5     5   100.00
 237    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 238   15    0   77.78  70.00     7      9   10      2     13    12    92.31
 239    5    0  100.00 100.00     4      4    4      0      5     5   100.00
 240    7    0  100.00 100.00     5      5    5      0      7     7   100.00
 241    6    0  100.00 100.00     5      5    5      0      6     6   100.00
 242    5    0  100.00 100.00     4      4    4      0      5     5   100.00
 243    5    0  100.00 100.00     5      5    5      0      5     5   100.00
 244    5    0  100.00 100.00     4      4    4      0      5     5   100.00
 245   10    0  100.00 100.00    13     13   13      0     10    10   100.00
 246    6    0  100.00 100.00     4      4    4      0      6     6   100.00
 247   39    0  100.00  93.55    29     29   31      0     39    39   100.00
 248    7    0  100.00 100.00     5      5    5      0      7     7   100.00
