  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 602   20    0   87.50  87.50    14     16   16      0     18    17    94.44
 603   33    1    0.00   0.00     0      0    0      0      0     0     0.00
 604   41    0   60.98  65.79    25     41   38      9     39    36    92.31
 605   23    1    0.00   0.00     0      0    0      0      0     0     0.00
 606   36    1    0.00   0.00     0      0    0      0      0     0     0.00
 607    7    0  100.00 100.00     5      5    5      0      6     6   100.00
 608   11    0  100.00 100.00    11     11   11      0     11    11   100.00
 609   22    0   94.74  94.74    18     19   19      0     22    21    95.45
 610   21    0   64.71  64.71    11     17   17      5     20    19    95.00
 611   21    0  100.00 100.00    19     19   19      0     21    18    85.71
 612   12    0  100.00  80.00     8      8   10      0     12    11    91.67
 613   36    0   90.00  93.10    27     30   29      0     36    35    97.22
 614   17    0   94.12  94.12    16     17   17      0     17    17   100.00
 615    8    0  100.00 100.00     7      7    7      0      8     7    87.50
 616    6    0  100.00 100.00     4      4    4      0      6     6   100.00
 617   34    0  100.00  92.59    25     25   27      0     34    33    97.06
 618    5    0  100.00 100.00     4      4    4      0      5     5   100.00
 619   25    0  100.00  84.21    16     16   19      0     25    23    92.00
 620    6    0  100.00 100.00     4      4    4      0      6     6   100.00
 621    7    0  100.00 100.00     5      5    5      0      7     7   100.00
 622   19    0   92.86  92.86    13     14   14      0     19    19   100.00
 623   39    0  100.00  96.00    24     24   25      0     39    39   100.00
 624   15    0   91.67  91.67    11     12   12      0     15    14    93.33
 625   25    0  100.00  93.33    14     14   15      0     25    22    88.00
 626   22    0   95.65  95.65    22     23   23      0     22    22   100.00
 627   17    0  100.00 100.00    15     15   15      0     17    17   100.00
 628    4    0  100.00 100.00     4      4    4      0      4     3    75.00
 629   21    0   88.24  93.75    15     17   16      0     21    20    95.24
 630   28    0  100.00  90.91    20     20   22      0     28    25    89.29
 631   23    0   93.75  83.33    15     16   18      0     23    21    91.30
 632   20    0  100.00 100.00    18     18   18      0     20    19    95.00
 633   27    0   72.22  65.00    13     18   20      0     27    27   100.00
 634   35    0   79.31  88.46    23     29   26      2     35    34    97.14
 635    2    0   50.00  25.00     1      2    4      0      2     1    50.00
 636   31    0  100.00  90.91    20     20   22      0     29    25    86.21
 637    4    0  100.00 100.00     4      4    4      0      4     4   100.00
 638   15    0  100.00 100.00    11     11   11      0     15    14    93.33
 639   38    0   96.88  93.94    31     32   33      0     38    38   100.00
 640    9    0  100.00 100.00     9      9    9      0      9     8    88.89
 641   32    0  100.00  96.00    24     24   25      0     32    32   100.00
 642   21    0   81.25  81.25    13     16   16      1     21    21   100.00
 643   55    0  100.00  86.36    38     38   44      0     55    54    98.18
 644    8    0  100.00 100.00     8      8    8      0      8     7    87.50
